"Date/Time,""Lat"",""Lon"",""Base"""
"9/1/2014 0:01:00,40.2201,-74.0021,""B02512"""
"9/1/2014 0:01:00,40.75,-74.0027,""B02512"""
"9/1/2014 0:03:00,40.7559,-73.9864,""B02512"""
"9/1/2014 0:06:00,40.745,-73.9889,""B02512"""
"9/1/2014 0:11:00,40.8145,-73.9444,""B02512"""
"9/1/2014 0:12:00,40.6735,-73.9918,""B02512"""
"9/1/2014 0:15:00,40.7471,-73.6472,""B02512"""
"9/1/2014 0:16:00,40.6613,-74.2691,""B02512"""
"9/1/2014 0:32:00,40.3745,-73.9999,""B02512"""
"9/1/2014 0:33:00,40.7633,-73.9773,""B02512"""
"9/1/2014 0:33:00,40.7467,-73.6131,""B02512"""
"9/1/2014 0:37:00,40.8105,-73.96,""B02512"""
"9/1/2014 0:38:00,40.679,-74.0111,""B02512"""
"9/1/2014 0:39:00,40.4023,-73.9839,""B02512"""
"9/1/2014 0:48:00,40.7378,-74.0395,""B02512"""
"9/1/2014 0:48:00,40.7214,-73.9884,""B02512"""
"9/1/2014 0:49:00,40.8646,-73.9081,""B02512"""
"9/1/2014 1:08:00,40.7398,-74.0061,""B02512"""
"9/1/2014 1:17:00,40.6793,-74.0116,""B02512"""
"9/1/2014 1:19:00,40.7328,-73.9875,""B02512"""
"9/1/2014 1:39:00,40.6743,-73.9334,""B02512"""
"9/1/2014 1:41:00,40.7638,-73.9962,""B02512"""
"9/1/2014 2:03:00,40.7638,-73.9811,""B02512"""
"9/1/2014 2:13:00,40.7415,-73.9975,""B02512"""
"9/1/2014 2:33:00,40.7445,-73.9855,""B02512"""
"9/1/2014 2:39:00,40.6614,-73.9409,""B02512"""
"9/1/2014 2:41:00,40.7494,-73.9946,""B02512"""
"9/1/2014 3:18:00,40.7529,-74.004,""B02512"""
"9/1/2014 4:01:00,41.0319,-74.1813,""B02512"""
"9/1/2014 4:06:00,40.7983,-73.9628,""B02512"""
"9/1/2014 4:20:00,40.6932,-73.943,""B02512"""
"9/1/2014 4:34:00,40.707,-74.0045,""B02512"""
"9/1/2014 5:02:00,40.7193,-73.9998,""B02512"""
"9/1/2014 5:11:00,40.7608,-73.9859,""B02512"""
"9/1/2014 5:12:00,40.8293,-73.9432,""B02512"""
"9/1/2014 5:16:00,40.7612,-73.9874,""B02512"""
